name,representative,website,phoneNumber
Precision Building Projects Limited,55684,https://www.precisionbuilding.co.nz/,027 635 8881
DGS Builders Limited,Dan Sullivan,,027 469 8660
About Time Building Maintenance,GARY PEPPERELL,,021 849 400
Lichtwark Building Limited,Alan Lichtwark,,027 493 4890
CCLBuilders Limited,Matthew Cruickshank,,021 278 8894
SM Build,Sean McInroe,http://smbuild.co.nz/,027 747 4424
Broadhurst Builders Limited,Max Broadhurst,https://www.broadhurstbuilders.co.nz/,022 276 2343
Gary Cassidy Builders Limited,Gary Cassidy,,027 435 0545
Handley Building Limited,JOHN S HANDLEY,http://www.handleybuild.co.nz,09 413 7127
DMJ Builders Limited,Dion Jones,,027 428 0983
Bridge City Interiors & Construction Limited,MARK BEDFORD,https://bridgecity.co.nz/,09 376 9101
Reynell Developments Limited,MICHAEL REYNELL,https://www.reynelldevelopments.com/,021 029 51990
Steve Muir Builders Limited,STEVE MUIR,,021 275 3645
BBC Construction Ltd,SHANAN THOMAS BOYD,,021 466 081
Trendset Construction Ltd,Paul Beadle,,021 083 13421
James & Noble Building Limited,Brad Noble,,027 492 7373
MRA Construction Limited,Mark Allen,,027 941 1089
Piutau Construction Limited,Robert Piutau,,022 413 5724
Zeal Builders Limited,ZANE MILNS,https://www.zealbuilders.co.nz/,021 113 7502
PBM NZ Limited,Kieran Wilson,,021 776 062
CG Stringer Builders Limited,CLINTON STRINGER,http://www.clintbuilds.co.nz,03 312 9733
Gardner Homes,Hadley Gardner,http://gardnerhomes.net.nz/,06 364 8493
General Construction (2010) Limited,GLENN CAMERON,https://www.generalconstruction.co.nz/,09 849 7220
G Donaldson Builders Limited,gary donaldson,http://www.gdbuilders.co.nz/,021 034 3075
PDS Builders Limited,PETER SHAW,,027 641 4833
Concise Construction,LEIGHTON BAKER,,03 312 8178
Derek Direen Building Limited,DEREK DIREEN,https://www.derekdireenbuilding.com/,03 443 6226
Murray Carter Builders Limited,MURRAY CARTER,,027 534 7031
ProRise Limited,STEVE FRANKLIN,,021 990 497
JFS Contractors Limited,55824,http://www.jfsconstruction.kiwi,
Island Bay Builders Limited,JASON GRECO,,021 399 224
Robertson Builders Limited,Glen Robertson,,027 476 4572
Eastern Building Services Limited,Perry Carr,,021 986 378
G Thompson Builders Limited,GARRY THOMPSON,,09 530 8717
Dunstan Builders Limited,BRETT DUNSTAN,,027 490 0391
Fairfield Palms Limited,CRAIG DIFFEY,http://fairfieldpalms.co.nz/,027 479 9228
Scott Turner Building Limited,Scott Turner,,022 458 0188
DMJ Builders Limited,Dion Jones,,027 428 0983
Vista Homes Limited,Shaun Murphy,https://www.vistahomes.co.nz/,09 838 3462
Coastbuild New Zealand Limited,TIM SMITH,http://coastbuild.co.nz/,09 428 0566
Silver Creek Construction Limited,Luke Bowen,,027 819 4599
Proper Building And Construction Limited,James Yang,,021 932 888
Under Construction,Luke Gilberd,,021 250 0580
Brophy Construction Limited,Stephen Brophy,,021 035 2122
Progressive Build NZ Limited,Jarrod Roberts,,021 486 110
Landview Homes,MATT DRYLAND,,027 242 0901
Singleton Building Limited,KEVIN J SINGLETON,,09 435 0050
Your Build Limited,Scott Todd,http://www.yourbuildonline.co.nz,021 624 015
Index Builders Limited,GRAEME HARTLEY,http://www.indexbuilders.co.nz/,0508 446 339
Birl Homes Limited,Kamdip Singh-Birl,,021 260 2663
CWB Construction Limited,COREY WOODWARD,https://www.cwbconstruction.co.nz/,027 485 9636
Nagel Builders Bay of Islands Limited,DEREK NAGEL,http://www.nagelbuilders.co.nz/,09 407 9312
Frontline Projects Limited,JARRETT HOWE,http://www.frontlineprojects.co.nz,09 415 2990
EC Building & Maintenance,Elliott Cross,,021 025 54485
Jillings Building Limited,MARK JILLINGS,https://renovationauckland.co.nz/,021 949 987
Craigs Building,CRAIG WHITTON,,06 327 5540
Daly Construction NZ Limited,PAUL DALY,https://www.dalyconstruction.co.nz/,021 071 3772
Bennett Homes Limited,AARON BENNETT,https://www.bennetthomes.co.nz/,027 696 2182
T McClew Builders,TIM MCCLEW,,021 273 9601
Maddin Building Solutions Limited,HAYDEN L VILE,,021 811 788
Ben Taylor Builders Limited,BENJAMIN J TAYLOR,http://www.bentaylorbuilders.com/,027 552 4429
WBC Limited,RICHARD WILKINSON,https://wbc.kiwi/,021 888 503
Keating Construction,Tom Keating,https://keatingconstruction.nz/,021 321 204
Coastbuild New Zealand Limited,TIM SMITH,http://coastbuild.co.nz/,09 428 0566
Gordon Building & Construction Limited,Gordon Xu,,022 049 0328
Insite Builders Limited,ANDREW B ROBERTSON,,021 477 556
ZT Building Limited,Zane Taylor,,021 060 1867
Mark Smith Builders 2010 Limited,Mark Smith,,027 229 1124
Mark Oates Building Limited,MARK OATES,,09 238 4690
JRB Construction Limited,Jesse Rudolph,http://www.jrbconstruction.co.nz/,022 685 1545
Tourmalet Building Limited,HAMISH O SMITH,,022 646 3935
GBL,Erik Graamans,https://www.gbl.net.nz/,021 730 367
TK Homes,Tom Gerrard,http://www.tkhomes.co.nz/,021 054 0398
Still Building Limited,G O STILL,,021 596 808
AN Mayhead Building Contractor,Adrian Mayhead,,027 448 4227
Makeco Ltd,Jonnie Catp,https://www.makeco.nz,022 189 6970
Ross Residential Limited,Brad Ross,,022 152 3443
Matt Brown Builders Limited,Matt Brown,,09 459 5509
Frazer Construction Limited,DAVID FRAZER,https://kiwispannz.co.nz/,07 377 2127
Burnell Builders,BRUCE BURNELL,,027 626 7195
CC Building Solutions Limited,CAMPBELL CRETNEY,,021 618 586
A Build Construction Limited,ANDREW HINKS,,027 460 6638
Potts Construction Limited,Dave Potts,,021 023 44531
Firefly Carpentry Limited,Tim Sharp,,021 056 9052
M & D Winiata Builders,MARK WINIATA,,027 450 3003
Hilary Construction,ALLAN MITCHELL,,09 433 0404
Fearnley Construction Limited,BEN FEARNLEY,https://www.fearnleyconstruction.co.nz/,03 324 3339
D'Ath Construction Limited,PHILLIP D'ATH,,021 637 151
First Construction,Allen Cai,https://www.firstconstruction.co.nz/,09 272 9366
Gilmour Building Contractors Limited,RAYMOND GILMOUR,,027 349 7730
Felix Homes,Luwade Felix,,021 037 7732
CoastR Construction,Max Dorking,,022 100 4757
Under Construction Building Limited,TIM JOHNSTON,https://www.underconstructionbuilding.co.nz/,04 564 6818
Authentic Kiwi Building Limited,55677,https://www.akbuilding.nz/,04 971 0034
Straight Up Construction (Taupo) Limited,PAUL RIEDEL,http://www.straightupconstruction.co.nz,07 378 1453
Buildrite Construction Co Limited,NOEL KITCHING,,027 445 7179
Smith & Montgomery Limited,Braden Mongomery,,021 330 455
BuildSmart Otago Limited,GLEN ROWAN WILLIAMSON,https://www.webuildsmart.co.nz/,021 228 4531
MJM Projects Limited,Mitchell MacDonald,,021 104 5898
Kiwi Modular Homes Ltd,John Phillips,,021 161 1168
AJP Builders Limited,ALAN J PLATT,,027 493 7703
TP Projects,TJ Patel,https://tpprojects.co.nz/,021 022 80118
F & P Builders The Bathroom Store,F SCHMIDT,http://www.thebathroomstore.co.nz,027 479 3692
Clarkson Building Limited,ROB CLARKSON,,021 458 327
Wade Construction Limited,John Wade,https://www.wadeconstruction.co.nz/,07 378 0535
Hawkins Homes,56488,www.hawkinshomes.co.nz,09 520 6475
Gordon Building & Construction Limited,Gordon Xu,,022 049 0328
Craft Homes Limited,Toby Tilsley,https://www.crafthomes.co.nz/,021 025 53091
DNA Construction Limited,Dean Irving,https://www.dnaconstruction.co.nz/,021 727 837
Build 100 Limited,HARVEY GARDNER,,021 401 175
Wiggins Building Solutions,Steven Wiggins,https://www.wigginsbuildingsolutions.co.nz/,027 207 6977
Belvedere Developments Limited,Andrew Leon Birchenough,https://www.belvederegroup.co.nz/,07 579 0109
Justa Builder Ltd,Samuel Hobbs,,027 722 2321
Ludlow Builders Limited,BRIAN S LUDLOW,,04 472 0108
Anderson Build Co.,Te Wehi Anderson,,022 679 0020
Aurum Building Limited,Anthony Dickey,,
Red Tussock Construction Ltd,Trevor Bentley,,021 073 1193
BL Building Limited,BRUCE LAGA,,027 200 8999
Warnock Builders Limited,Owen Warnock,,021 137 4904
Semmens Building & Consultants Limited,Murray Semmens,,027 437 6228
Jim Byrne Builders Limited,JIM BYRNE,,021 514 788
TWB Building Contractors Limited,Terence Boyes,,021 473 191
Blair Ruscoe,Blair Ruscoe,,021 087 57207
Thistle Building Company Limited,SIMON JAMES GRIFFITH,https://www.thistlebuildingcompany.co.nz/,06 377 4550
Holmes for Homes Limited,PAUL V HOLMES,,027 208 4102
SS Homes Hawkes Bay Limited,JASON SULLIVAN,https://sshomes.co.nz/,06 875 1127
Matt Brown Builders Limited,Matt Brown,,09 459 5509
Greenway Developments Limited,STEFAN GREENWAY,https://greenwayhomes.co.nz/,021 274 4886
PL Construction & Drainage Limited,Luke Leth,,027 228 0929
Gale Builders Limited,ALLAN GALE,http://galebuilders.co.nz/,027 212 9330
Home Projects Limited,A J SAMPSON,http://www.homeprojects.co.nz,021 522 667
Korr Construction Limited,James McLaughlin,,027 567 7267
BBM Construction Ltd,Matthew Dobson,http://bbmconstruction.co.nz,021 267 4088
Detailed Building Services Limited,LES ADAMS,,027 442 2168
V W Developments Limited,RICHARD VAN WEERD,,021 931 900
Ben Moffett Building Limited,Benjamin Moffett,,027 433 5052
Murray & Ward,GLENN WARD,,04 476 4729
MileHigh Construction Limited,Aaron Sheely,https://milehighconstruction.co.nz/,027 415 3786
Cranfield Building Services Limited,scott cranfield,,03 325 7183
SB Construction Limited,SCOTT BARNETT,http://www.sbconstruction.co.nz/,027 696 1417
Claremont Construction Limited,GILES REES,,027 451 2131
Coles Construction,Cole Stewart,http://www.colesconstruction.co.nz,027 469 3861
Ben Taylor Builders Limited,BENJAMIN J TAYLOR,http://www.bentaylorbuilders.com/,027 552 4429
Vogelmorn Maintenance & Construction Limited,DEREK LEE,,027 444 3406
REN0V8 Auckland Ltd,Dave Hookey,,021 921 360
Bos Construction Limited,Benjamin Bos,,027 326 8912
Character Building Limited,PHILLIP JOHN CLAFFEY,http://characterbuilding.nz/,021 752 907
Pickering Builders Limited,MARK PICKERING,,09 439 7418
Alyson Construction & Management Limited,Peter Zhu,,021 052 8560
Healey Builders,55801,,
Oratia Builders Limited,TONY PARKINSON,www.oratiabuilders.co.nz,021 924 050
Essential Building Services Limited,Mark Mudgway,,021 683 404
JK Design Limited,Kieran Tod,https://www.jkdesign.co.nz/,021 081 41385
K Argyle Builders Limited,55634,,022 016 9300
Dream Build NZ Limited,Richard Bryne,,027 324 5252
WrightCo Properties Limited,STEPHEN WRIGHT,,021 141 0023
Progressive Building Limited,DEAN MATTSON,,021 347 353
RD Builders Limited,ROSS FLOWERDAY,https://rdbuilders.co.nz/,04 528 3414
Frank Jones Building Limited,Frank Jones,,021 544 223
Wright Brothers Building Limited,Stan Wright,https://www.wrighthomes.co.nz/contact/,027 844 9998
Yakas Construction,Martin Yakas,,021 253 7206
Elevation Building Ltd,Regan Bailey,,021 820 331
Queenstown Construction Group Limited,Nathan Farrell,,027 554 3294
Davy Construction Limited,TROY DAVY,https://www.davyconstruction.co.nz/,021 244 3676
Joe Love Builders Limited,JOE LOVE,,09 434 6119
CAF Build Limited,Connor Fraser,,021 025 12411
Maxum Construction Limited,JARROD BARFOOT,http://www.maxumconstruction.co.nz/,09 214 1919
Thomas Moore Builders Limited,Nigel Moore,,027 494 7697
Banks Builders Limited,WAYNE BANKS,https://www.banksbuilders.co.nz/,06 751 3557
Kenco Construction Limited,55780,,021 115 5295
CB Projects,CAMERON BELL,https://cbprojects.co.nz/,021 330 288
Fieldhouse Builders,Ben Fieldhouse,https://www.fieldhousebuilders.co.nz/,022 036 9664
Lucid Homes Limited,Dylon Walsh,http://www.lucidhomes.co.nz,027 228 8945
CedarVille,ALAN D WHYTE,http://www.cedarville.co.nz,06 878 0019
Coles Construction,Cole Stewart,http://www.colesconstruction.co.nz,027 469 3861
Warnock Builders Limited,Owen Warnock,,021 137 4904
Adams Residential Limited,DAVID ADAMS,,027 225 8539
Coastal Construction,Sam Donaldson,,09 433 7177
King Build Limited,Tauri King-McTainsh,,021 169 0704
Vista Construction Limited,Matthew O'Sullivan,,021 175 8968
Tomik Limited,TODD FLASHMAN,http://www.tomik.co.nz/auckland-builder.html,021 839 465
John Shortland Builder,JOHN SHORTLAND,,027 475 4231
R & P Building Works Limited,Robert Abraham,,021 387 427
Daly Construction NZ Limited,PAUL DALY,https://www.dalyconstruction.co.nz/,021 071 3772
KN Construction Limited,KARL NICHOLAS,https://knconstruction.co.nz/,022 562 8458
Paul Morris Builders,Paul Morris,,021 029 89788
Quartly Build Limited,Beau Quartly,,027 455 6542
Aitking Builders,Leo King,,021 025 95488
R. Tech Building,Roger Bleyendaal,,027 261 3758
JFM Building Limited,Jake Moore,,027 242 5112
R J Fitt Builders Limited,RHYS FITT,,021 478 323
Bridge City Interiors & Construction Limited,MARK BEDFORD,https://bridgecity.co.nz/,09 376 9101
Kerry Mark Builder Limited,KERRY MARK,,06 357 4693
KS Builders 2008 Limited,Kiel Smith,http://www.ksbuilders.co.nz,027 664 2798
Vision Built Limited,55371,,027 425 2787
Taranaki Home Improvements & Construction Limited,WAYNE HIGGINS,http://www.taranakihomeimprovements.co.nz/,06 756 6387
Gokims Limited,Jin Kim,,021 166 3211
Bruce Horrox Builders,BRUCE HORROX,,07 828 8915
Rehutai Development Limited,Natalie Gallagher,,021 083 66187
CB Projects,CAMERON BELL,https://cbprojects.co.nz/,021 330 288
Brad Thomson Builders Limited,BRAD THOMSON,,021 560 889
Home of Origin Limited,J T BEANLAND,https://www.homeoforigin.co.nz/,021 955 408
Savory Construction Limited,Brave World,https://www.savory.co.nz/,09 276 7404
Cameron Building Services Limited,Rob Cameron,,021 250 5034
Matt Brown Builders Limited,Matt Brown,,09 459 5509
Renovation Professionals Limited,Aaron West,,09 929 8622
Taranaki Home Improvements & Construction Limited,WAYNE HIGGINS,http://www.taranakihomeimprovements.co.nz/,06 756 6387
HSD Building Contractors Limited,DAMIAN HILL,https://www.hsdltd.co.nz/,021 848 940
B H Builders,BRENDON HASTIE,https://www.bhbuilders.co.nz/,021 072 7367
Court Construction Limited,CAMERON COURT,https://www.courtconstruction.co.nz/,021 537 900
Goddard Building,GAVIN GODDARD,,027 442 2235
Tech Neat Builders,BRENT G HIGGINS,,021 280 0783
Tellus Construction Limited,PINE LAI,,021 528 242
Jacobs Construction Limited,Blair Jacobs,https://www.jacobsconstruction.co.nz/,06 858 8808
Cardea Construction Limited,RICHARD LONG,,027 574 1458
Aaron Mitchell Builders Limited,Aaron Mitchell,,027 344 3266
Hayward Builders Limited,MICHAEL HAYWARD,https://www.haywardbuilders.co.nz/,07 210 1402
Hudson Builders,TOM HUDSON,,027 281 3812
Dial A Builder Limited,ROY PEDEN,https://www.dialabuilder.co.nz/,07 350 1111
Davy Construction Limited,TROY DAVY,https://www.davyconstruction.co.nz/,021 244 3676
O'Connor Building Limited,55749,,027 427 1007
A2 Design and Build Limited,Wei Liang Li,,021 121 3957
QDC Works Limited,MARK NICCOLLS,http://www.qdcworks.co.nz,021 742 521
Mark Velenski Building Limited,MARK VELENSKI,https://www.mvbuilding.co.nz/,027 249 0099
All Built,Jeremy Grove,https://www.allbuilt.co.nz/,027 341 2116
BH Developments Limited,JASON TROW,,021 881 246
SO Homes NZ,Scott Salwey,,021 028 89084
Cycas Homes,James Deng,,021 557 266
Wilco Projects Limited,Samuel Wilson,,021 023 54058
Elliot Johnson Building,Elliot Johnson,https://www.ejbuilding.co.nz/,022 300 7307
Anjalo Construction 2016 Ltd,Mark Schrama,,027 460 0022
Robert Stokes Builder Limited,ROBERT HAROLD STOKES,,03 981 4141
Solid Build NZ Limited,Gerard Traynor,https://www.solidbuild.co.nz/,021 170 2540
R&B Construction Limited,Rigo Varu,,09 974 4324
Mark Doorman Builders,MARK DOORMAN,,027 445 4640
Southern Builders Limited,Joseph Hancock,,021 934 934
Thony Builders Limited,Ingo Thony,https://thonybuilders.co.nz/,09 832 3285
Eastridge Homes,Gareth Williams,,022 572 2875
Ben Moffett Building Limited,Benjamin Moffett,,027 433 5052
RLM Builders,ROGER MILLAR,,021 682 980
D.R Builders Limited,Daniel Russell,,021 057 0783
TAJ Builders Limited,TIM JUDKINS,,021 448 036
Darren Roa Builders Limited,DARREN JOHN ROA,,07 888 4880
3 Gen Builders Limited,Darryn Caird,,021 255 1644
SCB Construction,Seamus Bell,,027 232 2717
Heartland Building Limited,brad pattullo,https://heartlandbuilding.co.nz/,021 676 427
Muir Construction Limited,GARY MUIR,,027 274 8883
Resolute Build Limited,Carl Meyer,,021 116 0662
Roger Gibb Builders,ROGER PATRICK GIBB,http://www.rogergibb.com/,021 487 015
The Smithery,GLEN WHATMOUGH,https://www.thesmithery.co.nz/,09 475 6242
Lornie Construction Limited,Terry Lornie,,027 372 2259
David Price Builder Limited,DAVID PRICE,https://www.davidpricebuilder.com/,021 714 690
Kelway Construct Limited,Rich Kelway,https://kelwayconstruct.co.nz/,021 029 00586
M E Building,JARROD EADES,https://mebuilding.co.nz/,021 217 1480
Goodwin & Goldstone Ltd,James Goldstone,,021 039 0294
ASF Builders Limited,Adam-Shayne Fun-nell,,021 176 8405
Diverse Building Limited,Newton Ferregel,https://www.diversebuilding.co.nz/,027 473 9244
McManus Construction Limited,Lee McManus,,027 267 7799
Strong Builds,Sam Clunie,,027 324 1240
McGregor Construction 2015 Limited,SHANE L MCGREGOR,https://www.macbuilders.co.nz,07 883 7424
Zeal Builders Limited,ZANE MILNS,https://www.zealbuilders.co.nz/,021 113 7502
Van de Ven Builders,Jamie William Van De Ven,,027 330 8025
Buildam Construction Limited,JEREMY DAMERELL,http://www.buildamconstruction.co.nz/,027 441 1118
Devon Homes,BERNARD REUTERS,http://www.devonhomes.co.nz/,06 345 2393
David Clarke Builders Limited,DAVID CLARKE,http://www.davidclarkebuilders.co.nz,06 858 7571
Evans Construction,Paul Evans,,021 027 15165
Under Construction Building Limited,TIM JOHNSTON,https://www.underconstructionbuilding.co.nz/,04 564 6818
Alpha Building Taranaki Limited,Zach Edgar,,027 631 2177
White Rabbit Construction,Charles Johnston,,021 038 6519
Alpine Building Limited,JEFF J LAMBERT,http://www.alpinebuilding.co.nz,021 476 209
MPH Builders Ltd,Michael Hodgins,,027 822 5616
Orange Build Limited,Duncan McRobie,,021 991 520
Whangarei Heads Construction Limited,ISAAC KAKE,,021 222 2359
Smith & Sons Taupo Limited,Mike Edwards,https://www.smithandsons.co.nz/renovation-builder/taupo,027 279 3416
Timbercraft,Peter Grant,,021 344 666
Peter Jamieson Builder,PETER J JAMIESON,,06 363 8828
Aldridge Construction Limited,Ben Aldridge,,027 525 5335
Northmen Construction,Will Lauder,https://www.northmen.co.nz/,021 929 209
Smith & Sons Riccarton,SIMON THOMSON,,027 597 2815
Eagle Eye Construction Limited,Simon Malaeulu,http://www.eeconstruction.co.nz/,027 528 1380
Brendan Fry Builder Limited,Brendan Fry,,06 863 3375
Express Property Maintenance Timaru Limited,Paul Dunstan,https://expresspropertymaintenance.kiwi/,021 293 8985
Goodwin Construction Limited,HARIS GOODWIN,https://www.goodwinconstruction.co.nz/,021 983 529
BES Building Limited,Brian Smith,,021 277 3577
BTS Construction Limited,BRENDAN SMITH,http://btsconstruction.co.nz/,021 609 586
Generation Homes Auckland South,Sean Bignell,https://www.generation.co.nz/auckland%20south,09 298 6317
Countryside Homes Ltd,Andrew Campbell,,021 415 909
Jeff Laws Building,JEFF LAWS,,027 360 1899
Amon Perry Builders Limited,Amon Perry,,022 354 3050
Oakwood Contracting Limited,PAUL JACKSON,,027 200 3136
Croydon Williams Limited,CROYDON WILLIAMS,,027 340 3540
PR Builders NZ Limited,PETER RICHARDS,,021 852 572
Buchanan Construction Limited,Tony Buchanan,,
Thistle Building Company Limited,SIMON JAMES GRIFFITH,https://www.thistlebuildingcompany.co.nz/,06 377 4550
Scott Revell Builders,SCOTT WILLIAM REVELL,www.scottrevellbuilders.co.nz,027 861 6592
Colabb Build Limited,Michael Malloy,,027 204 7577
McGregor Home Builders Limited,PAUL McGREGOR,,021 567 866
James & Noble Building Limited,Brad Noble,,027 492 7373
Day Construction,BRIAN DAY,http://www.dayconstruction.co.nz,09 574 6830
Dass Builders Limited,BARJINDER SINGH,,
Southern Builders Limited,Joseph Hancock,,021 934 934
Paul McStay Builders,56580,https://paulmcstaybuilders.co.nz/,03 351 6837
Gibb Building Wanaka Limited,NEVIN GIBB,,027 585 7118
Precise Building Limited,TIM RYNBECK,,027 493 3905
Selwyn Builders,Steve Cusdin,,
Discovery Homes New Zealand Limited,BENJAMIN GRADY,https://discoveryhomes.co.nz/,027 693 1853
Solution Building Limited,BRENDON JOHN CROW,http://www.solutionbuilding.co.nz,027 470 4704
Paul Morris Builders,Paul Morris,,021 029 89788
Index Builders Limited,GRAEME HARTLEY,http://www.indexbuilders.co.nz/,0508 446 339
Andrew O'Connell Building Contractor Limited,ANDREW O'CONNELL,,021 511 441
LMC Building and Construction Limited,LUKE CHAMBERS,https://lmcbuilding.nz,021 968 596
HR Construction Limited,Hayley Pope,,09 372 3558
The G.O.A.T Builders,56906,www.goatbuilders.co.nz,09 390 155
Chatterton Builders Limited,BRENT CHATTERTON,https://www.chattertonbuilders.co.nz/,03 313 0103
UpRight Builders Limited,ROSS THOMPSON,,07 855 5971
MH Builders 2017 Limited,Clinton James,https://mhbuilders.co.nz/,07 849 4602
Quadrille Construction Limited,CRAIG BALMFORTH,http://www.quadrilleconstruction.co.nz,04 527 8883
A & W Chapman Builders Limited,WAYNE CHAPMAN,,027 484 0878
BuildMe Dunedin Limited,Rhys Heatley,,03 477 7980
Brown & Son Construction 2009 Limited,NATHAN BROWN,,021 027 46688
Riverview Builders Limited,Phil Johnson,,027 447 4123
Mike Muir Builders Limited,Jeremy Muir,,027 240 4816
Aaron Taylor Builders,Aaron Taylor,,021 026 00328
Rob Dennison Builders Limited,ROB DENNISON,,021 037 0292
D.R Builders Limited,Daniel Russell,,021 057 0783
Derek Direen Building Limited,DEREK DIREEN,https://www.derekdireenbuilding.com/,03 443 6226
Darren Roa Builders Limited,DARREN JOHN ROA,,07 888 4880
Webber Building Limited,COLIN WEBBER,http://www.webberbuilding.co.nz/,021 936 602
Hobson Delowe Homes,LOGAN JARED HOBSON,http://www.hobsondelowe.co.nz/,027 407 1796
Grayburn Property Services Limited,Scott Fyfe,http://www.gps1.co.nz/,09 622 3900
Roger Gibb Builders,ROGER PATRICK GIBB,http://www.rogergibb.com/,021 487 015
Index Builders Limited,GRAEME HARTLEY,http://www.indexbuilders.co.nz/,0508 446 339
Holmes for Homes Limited,PAUL V HOLMES,,027 208 4102
Karpentero NZ Limited,Bok Rante,,022 170 5094
Bastion Residential Limited,BEN HOLLINS,http://www.bastionresidential.co.nz/,09 530 8098
Twiss Construction Ltd,Casey Twiss,,027 258 4690
RM Construction,ROSS J MARETT,,027 447 0588
Woods Building Solutions Limited,Rephan Woods,,027 593 0090
Brydone Building Co Limited,Steve Brydone,,021 222 6112
Quality Build Limited,Nathan Mill,https://www.qualitybuild.co.nz/,022 638 7215
D Build Limited,DEON NEVILLE,http://www.dbuild.co.nz/,021 226 7996
Newman Builders Limited,TODD L NEWMAN,,021 721 665
N Gibson Building Ltd,Nathan Gibson,,021 029 50139
Gary Schwass Building Limited,GARY S SCHWASS,,07 308 8087
Luxe Build Limited,MATTHEW SEYMOUR,,021 174 6800
Hanmer Building Solutions,Simon Phillips,,
Contex Construction,Luke Dalley,,027 363 4721
Brett Dawson Builders Limited,BRETT DAWSON,,027 676 5809
Scott Harvey Builder Limited,SCOTT HARVEY,,027 593 6411
DEC Construction Limited,DARREN ETTRITCH,,021 319 939
Matt Jack Construction Limited,Matthew Jack,,06 877 4208
Martin Green Builder Limited,MARTIN GREEN BUILDER,,021 306 177
Dave Griffiths Carpentry,Dave Griffiths,,021 434 306
CJS Construction Limited,Callum Sheridan,https://cjsconstruction.co.nz/,021 081 82014
RSE Accommodation Solutions Limited,Zane Crisp,https://rseaccommodationsolutions.co.nz/,022 282 7623
Auckland Quality Builders Limited,Grant MacPherson,,09 837 3285
SBC Building,Shaun Callaghan,,021 670 423
David Hale Building Limited,DAVID J E HALE,,021 375 544
Cammell Projects Limited,STEFAN CAMMELL,https://www.cammellprojects.co.nz/,03 451 1404
GML Builders Limited,Gavin Laird,,09 215 3724
LBG Builders Limited,BRETT GOODGER,https://www.lbgbuilders.co.nz/,07 390 5883
Key Homes Tauranga Limited,MIKE CAVELL,https://www.keyhomes.co.nz/,027 442 9341
SP Ryder Builders Limited,Christopher Stowell,,03 327 7764
GBM Construction Limited,Greg Moleswoth,,027 538 2878
Harper Construction Limited,55792,https://www.harperconstruction.co.nz/,
Sargent Construction Limited,OWEN LAWRENCE SARGENT,,021 770 554
Madison Building Limited,Nick Craig,https://www.madisonbuilding.co.nz/,022 088 4344
LEB Limited,55750,http://www.leb.co.nz/,021 214 3308
Bastion Residential Limited,BEN HOLLINS,http://www.bastionresidential.co.nz/,09 530 8098
SSS Homes Kapiti,Shane Steinmetz,,027 535 7600
Keenan Construction Limited,Daniel Keenan,http://www.keenanconstruction.co.nz,027 941 5644
GD Jones Builder Limited,Graeme Jones,,027 435 7469
Construction Management Group (Building) Limited,DAVID FRANCIS REDMOND,https://constructionmanagementgroup.co.nz/,09 818 1956
SM Build,Sean McInroe,http://smbuild.co.nz/,027 747 4424
Anjalo Construction 2016 Ltd,Mark Schrama,,027 460 0022
Price & Strawbridge Builders Limited,ANDY PRICE,,04 387 2998
Lifestyle Masonry Homes Limited,MICHAEL KOSTA SESELJ,http://www.lifestylemasonry.co.nz,021 545 833
Exceed Building & Outdoor Solutions,Wayne D Goldsbro,http://www.exceedoutdoors.co.nz,07 572 1099
Blackrock Titans Limited,Andy Vailua,,021 615 250
JPK Builders,Jason Kemp,,
Hillco,Nicholas Hill,https://www.hillco.co.nz,03 577 5543
Harrison Building Company Limited,Cater Harrison,,027 239 9029
JMC Builders Limited,JAMIE CORRIGAN,http://www.jmcbuilders.co.nz/,021 052 4447
Scott-D Builders Limited,CLINT SCOTT-DAVIDSON,,021 043 0077
Top Mark Construction Limited,Mark Reichardt,https://www.topmarkconstruction.co.nz/,027 276 3872
Exhibition Homes,Aaron Bartley,,021 834 244
Souness Builders Limited,ANDREW SOUNESS,,021 468 038
Vista Construction Limited,Matthew O'Sullivan,,021 175 8968
Prestige Builders Limited,55272,,027 875 1757
Renovate Me Limited,JAMES LAIRD,https://www.renovatemenelson.co.nz/,027 249 1062
The Good Builder Limited,Brendon Stockman,http://www.thegoodbuilder.co.nz,021 474 180
King Construction Limited,Brodie King,,027 946 3557
Blain Allen Builder Limited,BLAIN ALLEN,,027 436 7134
Twiss Construction Ltd,Casey Twiss,,027 258 4690
The Mills Family Trust,CAMPBELL MILLS,,027 474 3934
Hammered It Construction Limited,Anthony Hay,,022 192 8718
Bridge City Interiors & Construction Limited,MARK BEDFORD,https://bridgecity.co.nz/,09 376 9101
Narlo Builders,Byron McPartland,,027 202 8428
The Complete Building Company Limited,MIKE WICKENS,https://thecompletebuildingcompany.co.nz/,04 905 9211
Benmore Builders Limited,Paul Reeves,,
JR Homes Limited,Eugene Wu,,022 434 5678
Templeton Construction Limited,BEN TEMPLETON,,03 435 0724
David Hale Building Limited,DAVID J E HALE,,021 375 544
Rohcon Construction Limited,KYLE BURDETT,http://www.rohcon.co.nz/,021 628 522
Christie Builders & Joiners Limited,PETER CHRISTIE,http://www.christiebuildersandjoiners.co.nz/,06 843 6676
Darren Roa Builders Limited,DARREN JOHN ROA,,07 888 4880
Silverstream Construction Limited,John Miller,http://www.silverstreamconstruction.co.nz/,021 285 8881
DMC Projects Limited,David McLeod,https://www.dmcprojects.co.nz,027 361 8820
